,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
4130,,Select the bird.,"['grass frog', 'arroyo toad', 'penguin', 'coral snake']",2,,closed choice,grade5,natural science,biology,Flip-to-correct,"Identify mammals, birds, fish, reptiles, and amphibians","Birds have feathers, two wings, and a beak.","A coral snake is a reptile. It has scaly, waterproof skin.
Coral snakes spend most of their time underground or hiding under leaves.
A grass frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
An arroyo toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A penguin is a bird. It has feathers, two wings, and a beak.
Penguins live near water. Penguins cannot fly! They use their wings to swim.",A,0,A,C,Reasoning:A penguin is a species of bird. The final answer: (C).,A penguin is a species of bird.,C,1
8088,,When was Harriet Tubman born?,"['the 1820s', 'the 1610s', 'the 1910s', 'the 1490s']",0,,closed choice,grade3,social science,us-history,Flip-to-incorrect,Harriet Tubman,,"Harriet Tubman was born in the 1820 s. She was born about 40 years before the Civil War. The Civil War was fought from 1861 to 1865.
During the 1820 s, slavery was still allowed. It was also spreading into new parts of the country. Many people worried that it might last forever.",(A),1,A,A,Reasoning:Harriet Tubman was born in the 1610s. The final answer: (B).,Harriet Tubman was born in the 1610s.,B,0
11573,,How long is a long-distance running race?,"['25 yards', '25 miles', '25 feet', '25 inches']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Correct–Correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a long-distance running race is 25 miles.
25 inches, 25 feet, and 25 yards are all too short.",B,1,B,B,Reasoning:A long-distance running race is 25 miles. The final answer: (B).,A long-distance running race is 25 miles.,B,1
9376,,Select the solid.,"['air inside a soccer ball', 'vinegar', 'water in a sink', 'ruler']",3,,closed choice,grade3,natural science,physics,Incorrect–Incorrect,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","A ruler is a solid. A solid has a size and shape of its own. If you put a ruler in a box, the ruler will keep its shape.
The air inside a soccer ball is a gas. A gas expands to fill a space. The air fills all the space inside the soccer ball. If air leaks out, it will expand into the space around the ball.
Vinegar is a liquid. A liquid takes the shape of any container it is in. If you pour vinegar into a different container, the vinegar will take the shape of that container. But the vinegar will still take up the same amount of space.
The water in a sink is a liquid. A liquid takes the shape of any container it is in. If you move the water from a sink into a different container, the water will take the shape of that container. But the water will still take up the same amount of space.",B,0,B,D,"Reasoning:Water in a sink is a solid. So, the final answer is (B).",,,0
8804,,"Which type of sentence is this?
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.","['simple', 'compound', 'complex', 'compound-complex']",1,,closed choice,grade9,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",Raymond always approaches difficult tasks,0,,B,"Reasoning:Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor. The final answer: (B).","Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",B,1
7968,,How long is a soccer field?,"['90 centimeters', '90 kilometers', '90 meters', '90 millimeters']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Incorrect–Incorrect,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a soccer field is 90 meters.
90 millimeters and 90 centimeters are too short. 90 kilometers is too long.",90 centimeters,0,,C,Reasoning:A soccer field is 90 meters long. The final answer: (B).,A soccer field is 90 meters long.,B,0
11053,,Select the living thing.,"['banana tree', 'yo-yo', 'Mount Rushmore National Memorial', 'candle']",0,,closed choice,grade4,natural science,biology,Correct–Correct,Identify living and nonliving things,"All living things are made up of cells. Plants, animals, and some fungi have many cells. Other living things are made up of just one cell.
All living things need food and water. Water helps living things break down food and remove waste. Food gives living things energy. They use energy from food to grow and change.
All living things sense changes in their environment. Living things might sense changes by seeing, smelling, hearing, or feeling. Living things can respond to the changes they sense.","A banana tree is a living thing.
Banana trees grow and respond to their environment. They need food and water. Banana trees are made up of many cells.
Banana trees are plants. They make their own food using water, carbon dioxide, and energy from sunlight.
A candle is not a living thing.
A candle does not have all the traits of a living thing. It gives off light and heat, but it does not need food or water to survive.
Mount Rushmore National Memorial is not a living thing.
The Mount Rushmore National Memorial is a sculpture of four American presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln. The sculpture does not have all the traits of a living thing. It does not grow or respond to the world around it. It does not need food or water.
A yo-yo is not a living thing.
Yo-yos do not have all of the traits of living things. They do not grow or respond to their environment. They do not need food or water.",(A),1,A,A,Reasoning:A banana tree is a living thing. The final answer: (A).,A banana tree is a living thing.,A,1
7468,,Select the solid.,"['milk', 'water in a fishbowl', 'rain puddle', 'beans']",3,,closed choice,grade3,natural science,physics,Incorrect–Incorrect,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","The water in a fishbowl is a liquid. A liquid takes the shape of any container it is in. If you pour water from a fishbowl into a different container, the water will take the shape of that container. But the water will still take up the same amount of space.
Milk is a liquid. A liquid takes the shape of any container it is in. If you pour milk into a different container, the milk will take the shape of that container. But the milk will still take up the same amount of space.
A rain puddle is a liquid. A liquid takes the shape of any container it is in. If you collect rainwater in a bucket, the rainwater will take the shape of the bucket. But the rainwater will still take up the same amount of space.
A bean is a solid. A solid has a size and shape of its own. If you put many beans into a jar, the group of beans will take the shape of the jar, as a liquid would. But be careful! A bean is not a liquid. Each bean still has a size and shape of its own.",A,0,A,D,Reasoning:Milk is a solid. The final answer: (A).,Milk is a solid.,A,0
10260,,Select the invertebrate.,"['green sea turtle', 'sparrow', 'koala', 'locust']",3,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A green sea turtle is a reptile. Like other reptiles, a green sea turtle is a vertebrate. It has a backbone.
A sparrow is a bird. Like other birds, a sparrow is a vertebrate. It has a backbone.
A locust is an insect. Like other insects, a locust is an invertebrate. It does not have a backbone. It has an exoskeleton.
A koala is a mammal. Like other mammals, a koala is a vertebrate. It has a backbone.",green sea turtle,0,,D,Reasoning:Green sea turtle is an invertebrate. The final answer: (A).,Green sea turtle is an invertebrate.,A,0
10921,,Select the vertebrate.,"['redback spider', 'human', 'grasshopper', 'saturn butterfly']",1,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade4,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A saturn butterfly is an insect. Like other insects, a saturn butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
Like other spiders, a redback spider is an invertebrate. It does not have a backbone. It has an exoskeleton.
A grasshopper is an insect. Like other insects, a grasshopper is an invertebrate. It does not have a backbone. It has an exoskeleton.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.",A,0,A,B,Reasoning:Vertebrates are the only living beings. Humans are the only living beings. The final answer: (B).,Vertebrates are the only living beings. Humans are the only living beings.,B,1
6428,,How long is a ladybug?,"['9 meters', '9 kilometers', '9 millimeters', '9 centimeters']",2,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a ladybug is 9 millimeters.
9 centimeters, 9 meters, and 9 kilometers are all too long.",D,0,D,C,Reasoning:A ladybug is 9 cm long. The final answer: (C).,A ladybug is 9 cm long.,C,1
10098,,Select the invertebrate.,"['rockfish', 'green frog', 'Canadian lynx', 'monarch butterfly']",3,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A monarch butterfly is an insect. Like other insects, a monarch butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
A rockfish is a fish. Like other fish, a rockfish is a vertebrate. It has a backbone.
A Canadian lynx is a mammal. Like other mammals, a Canadian lynx is a vertebrate. It has a backbone.
A green frog is an amphibian. Like other amphibians, a green frog is a vertebrate. It has a backbone.",(A),0,A,D,Reasoning:Rockfishes are invertebrates. Rockfishes are a type of invertebrates. The final answer: (B).,Rockfishes are invertebrates. Rockfishes are a type of invertebrates.,B,0
1948,,Select the invertebrate.,"['diving beetle', 'blue jay', 'harvest mouse', 'komodo dragon']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A diving beetle is an insect. Like other insects, a diving beetle is an invertebrate. It does not have a backbone. It has an exoskeleton.
A harvest mouse is a mammal. Like other mammals, a harvest mouse is a vertebrate. It has a backbone.
A blue jay is a bird. Like other birds, a blue jay is a vertebrate. It has a backbone.
A komodo dragon is a reptile. Like other reptiles, a komodo dragon is a vertebrate. It has a backbone.",diving beetle,0,,A,Reasoning:Diving beetle is an invertebrate. The final answer: (A).,Diving beetle is an invertebrate.,A,1
