,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
8990,,"What do these two changes have in common?
newly poured concrete becoming hard
a copper statue turning green","['Both are caused by heating.', 'Both are chemical changes.', 'Both are only physical changes.', 'Both are caused by cooling.']",1,,closed choice,grade7,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Concrete hardening is a chemical change. The chemicals in the concrete react with each other to form a different type of matter. The new matter is hard and strong.
A copper statue turning green is a chemical change. The copper reacts with oxygen in the air. This reaction forms a different type of matter called copper oxide. The copper oxide is green.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(B),1,B,B,Reasoning:Concrete becomes hard and copper statue turns green. Newly poured concrete becomes hard and copper statue turns green. The final answer: (B).,Concrete becomes hard and copper statue turns green. Newly poured concrete becomes hard and copper statue turns green.,B,1
10678,,What is the United States Constitution?,"['a religious text from the Middle Ages', 'a written plan for the government of the United States', 'the first law written by English colonists in North America', 'a list of all the people who have served in the United States government']",1,,closed choice,grade4,social science,civics,Correct–Correct,The Constitution,,"The Constitution begins with the famous words ""We the People.""
The United States Constitution is a written plan for the government of the United States. The plan is included in a single document, or piece of writing.
""The highest law in the land""
Because the Constitution is the plan for the United States government, it includes some of the most important rules and laws in the United States. No laws are allowed to go against the Constitution. For that reason, the Constitution is often called ""the highest law in the land.""",(B),1,B,B,Reasoning:The United States Constitution is a written plan for the government of the United States. The final answer: (B).,The United States Constitution is a written plan for the government of the United States.,B,1
6630,,Select the amphibian.,"['fire salamander', 'gharial', 'green moray eel', 'whale shark']",0,,closed choice,grade5,natural science,biology,Correct–Correct,"Identify mammals, birds, fish, reptiles, and amphibians",Amphibians have moist skin and begin their lives in water.,"A green moray eel is a fish. It lives underwater. It has fins, not limbs.
Eels are long and thin. They may have small fins. They look like snakes, but they are fish!
A whale shark is a fish. It lives underwater. It has fins, not limbs.
Whale sharks are the largest fish in the world! Adult whale sharks can weigh over 21 tons—as much as seven elephants!
A fire salamander is an amphibian. It has moist skin and begins its life in water.
Fire salamanders can release poison from their skin. This poison helps protect them from predators.
A gharial is a reptile. It has scaly, waterproof skin.
Gharials are a type of crocodile. Gharials live near rivers and eat fish.",A,1,A,A,Reasoning:Green moray eel is an amphibian. The final answer: (A).,Green moray eel is an amphibian.,A,1
3961,,How long is a hammer?,"['10 feet', '10 miles', '10 inches', '10 yards']",2,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Correct–Correct,"Choose customary units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using customary units, length may be written with units of inches, feet, yards, or miles.
There are 12 inches in 1 foot, and 3 feet in 1 yard. There are 5,280 feet in 1 mile.
A football is about 1 foot long. A football field is 100 yards long.","The best estimate for the length of a hammer is 10 inches.
10 feet, 10 yards, and 10 miles are all too long.",C,1,C,C,Reasoning:A hammer is 10 inches long. The final answer: (C).,A hammer is 10 inches long.,C,1
10668,,The War of 1812 was between the United States and which other country?,"['Great Britain', 'Russia', 'France', 'Germany']",0,,closed choice,grade4,social science,us-history,Correct–Correct,The War of 1812: causes,,The War of 1812 was between the United States and Great Britain.,(A),1,A,A,Reasoning:The War of 1812 was between the United States and Great Britain. The final answer: (A).,The War of 1812 was between the United States and Great Britain.,A,1
5164,,Select the vertebrate.,"['golden frog', 'Caribbean reef octopus', 'honey bee', 'weaver ant']",0,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Correct–Correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A golden frog is an amphibian. Like other amphibians, a golden frog is a vertebrate. It has a backbone.
A weaver ant is an insect. Like other insects, a weaver ant is an invertebrate. It does not have a backbone. It has an exoskeleton.
Like other octopuses, a Caribbean reef octopus is an invertebrate. It does not have a backbone. It has a soft body.
A honey bee is an insect. Like other insects, a honey bee is an invertebrate. It does not have a backbone. It has an exoskeleton.",(A),1,A,A,Reasoning:Vertebrates are a group of vertebrates. The final answer: (A).,Vertebrates are a group of vertebrates.,A,1
2329,,"Which type of sentence is this?
As Colton sat down on the rickety old chair, it abruptly collapsed beneath him.","['compound', 'compound-complex', 'simple', 'complex']",3,,closed choice,grade12,language science,grammar,Correct–Correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is complex. It is made up of an independent clause and a dependent clause. The dependent clause begins with the subordinating conjunction as.
As Colton sat down on the rickety old chair, it abruptly collapsed beneath him.",(D),1,D,D,"Reasoning:Colton sat down on the rickety old chair, it abruptly collapsed beneath him. The final answer: (D).","Colton sat down on the rickety old chair, it abruptly collapsed beneath him.",D,1
6447,,Select the gas.,"['water in a sink', 'door', 'tortoise shell', 'helium']",3,,closed choice,grade3,natural science,physics,Correct–Correct,"Identify solids, liquids, and gases","Solid, liquid, and gas are states of matter. Matter is anything that takes up space. Matter can come in different states, or forms.
When matter is a solid, it has a definite volume and a definite shape. So, a solid has a size and shape of its own.
Some solids can be easily folded, bent, or broken. A piece of paper is a solid. Also, some solids are very small. A grain of sand is a solid.
When matter is a liquid, it has a definite volume but not a definite shape. So, a liquid has a size of its own, but it does not have a shape of its own. Think about pouring juice from a bottle into a cup. The juice still takes up the same amount of space, but it takes the shape of the bottle.
Some liquids do not pour as easily as others. Honey and milk are both liquids. But pouring honey takes more time than pouring milk.
When matter is a gas, it does not have a definite volume or a definite shape. A gas expands, or gets bigger, until it completely fills a space. A gas can also get smaller if it is squeezed into a smaller space.
Many gases are invisible. Air is a gas.","A door is a solid. A solid has a size and shape of its own. When you open or close a door, it keeps its shape.
The water in a sink is a liquid. A liquid takes the shape of any container it is in. If you move the water from a sink into a different container, the water will take the shape of that container. But the water will still take up the same amount of space.
Helium is a gas. A gas expands to fill a space. Helium is lighter than air. So, if you fill a balloon with helium, the balloon will rise. If helium leaks out of the balloon, the helium will expand into the space around the balloon.
A tortoise shell is a solid. A solid has a size and shape of its own. A tortoise shell is made of a solid called keratin, just like your fingernails!",D,1,D,D,Reasoning:Helium is a gas. The final answer: (D).,Helium is a gas.,D,1
913,,Select the invertebrate.,"['saturn butterfly', 'robin', 'Galapagos giant tortoise', 'ground squirrel']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Correct–Correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A saturn butterfly is an insect. Like other insects, a saturn butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
A ground squirrel is a mammal. Like other mammals, a ground squirrel is a vertebrate. It has a backbone.
A Galapagos giant tortoise is a reptile. Like other reptiles, a Galapagos giant tortoise is a vertebrate. It has a backbone.
A robin is a bird. Like other birds, a robin is a vertebrate. It has a backbone.",A,1,A,A,Reasoning:The Galapagos giant tortoise is an invertebrate. The Galapagos giant tortoise is an invertebrate. The final answer: (A).,The Galapagos giant tortoise is an invertebrate. The Galapagos giant tortoise is an invertebrate.,A,1
1310,,"What do these two changes have in common?
acid rain weathering a marble statue
compost rotting","['Both are caused by heating.', 'Both are caused by cooling.', 'Both are only physical changes.', 'Both are chemical changes.']",3,,closed choice,grade8,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Acid rain weathering a marble statue is a chemical change. The acid rain reacts with the outside of the statue and breaks it down into a different type of matter. This new matter is then washed away by the rain. Acid rain is a type of pollution. It forms when smoke from automobiles and factories mixes with water in clouds.
Acid rain is a type of pollution. It forms when automobiles and factories release smoke containing sulfur or nitrogen. Some of these chemicals react with water in the atmosphere. The reaction forms droplets of water that can fall back to the ground as acid rain.
Compost forms from the remains of plants and animals, such as vegetable scraps and egg shells. Compost rotting is a chemical change. As the compost rots, it breaks down and turns into a different type of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",D,1,D,D,Reasoning:Acid rain weathering a marble statue compost rotting. The final answer: (D).,Acid rain weathering a marble statue compost rotting.,D,1
1312,,"What do these two changes have in common?
an old sandwich rotting in a trashcan
plants making food from sunlight, air, and water","['Both are caused by heating.', 'Both are only physical changes.', 'Both are chemical changes.', 'Both are caused by cooling.']",2,,closed choice,grade4,natural science,chemistry,Correct–Correct,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
A sandwich rotting is a chemical change. The matter in the sandwich breaks down and slowly turns into a different type of matter.
Plants making food is a chemical change. Plants use energy from sunlight to change air and water into food. The food is sugar. Sugar is a different type of matter than air or water.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are chemical changes. They are not physical changes.
Both are chemical changes.
Both changes are chemical changes. The type of matter before and after each change is different.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(C),1,C,C,"Reasoning:Plants make food from sunlight, air, and water. The final answer: (C).","Plants make food from sunlight, air, and water.",C,1
10233,,Select the bird.,"['dwarf crocodile', 'human', 'gray crowned crane', 'wombat']",2,,closed choice,grade5,natural science,biology,Correct–Correct,"Identify mammals, birds, fish, reptiles, and amphibians","Birds have feathers, two wings, and a beak.","A wombat is a mammal. It has fur and feeds its young milk.
Wombats have strong claws on their front feet. They use their claws to dig underground holes called burrows.
A human is a mammal. It has hair and feeds its young milk.
Humans are a type of animal called a primate. Monkeys and apes are also primates.
A dwarf crocodile is a reptile. It has scaly, waterproof skin.
Crocodiles hunt their prey in or near water.
A gray crowned crane is a bird. It has feathers, two wings, and a beak.
Cranes wade in shallow water to look for food. Cranes eat insects, worms, and plants.",C,1,C,C,Reasoning:Gray crowned crane is a species of bird. The final answer: (C).,Gray crowned crane is a species of bird.,C,1
