,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
3298,,"What do these two changes have in common?
tearing a piece of paper
butter melting on a hot day","['Both are caused by heating.', 'Both are caused by cooling.', 'Both are only physical changes.', 'Both are chemical changes.']",2,,closed choice,grade3,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Tearing a piece of paper is a physical change. The paper tears into pieces. But each piece is still made of paper.
Butter melting on a hot day is a change of state. So, it is a physical change. The butter changes from solid to liquid, but it is still made of the same type of matter.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are physical changes. No new matter is created.
Both are chemical changes.
Both changes are physical changes. They are not chemical changes.
Both are caused by heating.
Butter melting on a hot day is caused by heating. But tearing a piece of paper is not.
Both are caused by cooling.
Neither change is caused by cooling.",(D),0,D,C,Reasoning:Tending a piece of paper butter melts on a hot day. The final answer: (D).,Tending a piece of paper butter melts on a hot day.,D,0
8531,,Select the invertebrate.,"['castor bean tick', 'zebra dove', 'Solomon leaf frog', 'harvest mouse']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A zebra dove is a bird. Like other birds, a zebra dove is a vertebrate. It has a backbone.
A harvest mouse is a mammal. Like other mammals, a harvest mouse is a vertebrate. It has a backbone.
A Solomon leaf frog is an amphibian. Like other amphibians, a Solomon leaf frog is a vertebrate. It has a backbone.
A castor bean tick is an insect. Like other insects, a castor bean tick is an invertebrate. It does not have a backbone. It has an exoskeleton.",C,0,C,A,Reasoning:Solomon leaf frog is an invertebrate. The final answer: (C).,Solomon leaf frog is an invertebrate.,C,0
12218,,"What do these two changes have in common?
water evaporating from a lake
baking cookies","['Both are caused by cooling.', 'Both are chemical changes.', 'Both are only physical changes.', 'Both are caused by heating.']",3,,closed choice,grade4,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Water evaporating from a lake is a change of state. So, it is a physical change. The liquid changes into a gas, but a different type of matter is not formed.
Baking cookies is a chemical change. The type of matter in the cookie dough changes when it is baked. The cookie dough turns into cookies!
Step 2: Look at each answer choice.
Both are only physical changes.
Water evaporating is a physical change. But baking cookies is not.
Both are chemical changes.
Baking cookies is a chemical change. But water evaporating from a lake is not.
Both are caused by heating.
Both changes are caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),0,A,D,Reasoning:Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes. The final answer: (B).,Water evaporating from a lake causes cooling. Evaporation and cooling are both chemical changes.,B,0
4672,,Which of these things did the Thirteen Colonies have at the start of the Revolutionary War?,"['their own national bank', 'their own national navy', 'none of the above', 'their own national government']",2,,closed choice,grade4,social science,us-history,Incorrect–Incorrect,The American Revolution: preparing for war,,"At the start of the Revolutionary War, the colonies were still ruled by Great Britain. They were not a separate country. So, they did not have many of the things most countries have.
No national government: The Thirteen Colonies had no way to write laws together. They also had no way to collect taxes to support a war.
No national navy: The Thirteen Colonies did not have a navy. The colonists had never fought a war at sea.
No national bank: Wars are expensive. A national bank can help a country raise money by borrowing from its people or other countries. Without a national bank, the Thirteen Colonies had no easy way to pay for a war.",D,0,D,C,Reasoning:The Thirteen Colonies had their own national navy at the start of the Revolutionary War. The final answer: (D).,The Thirteen Colonies had their own national navy at the start of the Revolutionary War.,D,0
7566,,Is the student text plagiarized?,"['Yes, because it fails to use quotation marks.', 'No, it is not plagiarized.', 'Yes, because it fails to use quotation marks and fails to cite the source.', 'Yes, because it fails to cite the source.']",2,"Compare the student text with the source.
Source: Paul Krugman, ""The Big Meh."" Published in The New York Times 25 May 2015.
At this point, the whole digital era, spanning more than four decades, is looking like a disappointment. New technologies have yielded great headlines, but modest economic results.
Student text:
It has been said that the new technologies of the digital era have yielded great headlines, but modest economic results.",closed choice,grade11,language science,writing-strategies,Incorrect–Incorrect,Identify plagiarism,"Plagiarism is the act of taking another person's work or ideas and presenting them as your own, either accidentally or on purpose. When you use an outside source in your own writing, you should make sure to cite the source in order to avoid plagiarism. Consider the following source:
Fisher, Goddu, and Keil, ""Searching for Explanations: How the Internet Inflates Estimates of Internal Knowledge."" Copyright 2015 by the American Psychological Association
The results of these experiments suggest that searching the Internet may cause a systematic failure to recognize the extent to which we rely on outsourced knowledge. Searching for explanations on the Internet inflates self-assessed knowledge in unrelated domains.
If you use a direct quotation in your writing, you must use quotation marks around the exact words that were copied from the source, in addition to citing the source.
Researchers have found that relying on the Internet for information may cause a systematic failure to recognize the extent to which we rely on outsourced knowledge.
This sentence is plagiarized because it uses the source's exact words without quotation marks and without properly citing the source.
Researchers have found that relying on the Internet for information ""may cause a systematic failure to recognize the extent to which we rely on outsourced knowledge"" (Fisher, Goddu, and Keil).
If you paraphrase a source, or put a source's ideas into your own words, you must still cite the source. Even if properly cited, a paraphrase that is too similar to the source in wording or sentence structure is still considered plagiarized.
According to Fisher, Goddu, and Keil, searching the Internet can lead to a regular failure to perceive the extent to which we rely on outside knowledge.
This sentence is plagiarized because it is an insufficient paraphrase. Even though it is properly cited, it borrows too much of the source's wording and sentence structure.
According to Fisher, Goddu, and Keil, relying on the Internet to look up information can make it difficult for us to estimate how much of our knowledge comes from internal versus external sources.
There are different rules about how to format citations, such as when to include page numbers for print sources. Check a style guide, such as the Modern Language Association (MLA) Handbook, for a complete list of these rules.","The student text is plagiarized. It uses the source's exact words without quotation marks, and it also fails to cite the source.
It has been said that the new technologies of the digital era have yielded great headlines, but modest economic results.
Source: Paul Krugman, ""The Big Meh."" Published in The New York Times 25 May 2015.
At this point, the whole digital era, spanning more than four decades, is looking like a disappointment. New technologies have yielded great headlines, but modest economic results.",(B),0,B,C,"Reasoning:The student text is not plagiarized. Therefore, the final answer is (B).",,,0
358,,Select the vertebrate.,"['green iguana', 'julia butterfly', 'black orb weaver spider', 'bull ant']",0,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Incorrect–Incorrect,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A bull ant is an insect. Like other insects, a bull ant is an invertebrate. It does not have a backbone. It has an exoskeleton.
Like other spiders, a black orb weaver spider is an invertebrate. It does not have a backbone. It has an exoskeleton.
A julia butterfly is an insect. Like other insects, a julia butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
A green iguana is a reptile. Like other reptiles, a green iguana is a vertebrate. It has a backbone.",(C),0,C,A,Reasoning:Vertebrates are a group of vertebrates. The final answer: (C).,Vertebrates are a group of vertebrates.,C,0
8087,,"Which type of sentence is this?
Tyler always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.","['simple', 'complex', 'compound-complex', 'compound']",3,,closed choice,grade8,language science,grammar,Incorrect–Incorrect,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Tyler always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",(B),0,B,D,"Reasoning:Tyler always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor. The final answer: (B).","Tyler always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",B,0
7191,,Select the action that doesn't belong.,"['chop', 'carve', 'slice', 'measure']",3,,closed choice,grade3,language science,vocabulary,Incorrect–Incorrect,Select the words that don't belong,,"Measure doesn't belong.
Carve, chop, and slice all name ways to cut something.",B,0,B,D,Reasoning:Measurement is the act of measuring. Measurement does not belong to the action that doesn't belong. The final answer: (B).,Measurement is the act of measuring. Measurement does not belong to the action that doesn't belong.,B,0
5525,,"What do these two changes have in common?
filtering air to remove dust and pollen
a crayon melting in the sun","['Both are only physical changes.', 'Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.']",0,,closed choice,grade8,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Matter is made of very small particles called atoms. Atoms can be linked together by chemical bonds. When two or more atoms link together, they form a molecule.
In a chemical change, the chemical bonds in the molecules break. The atoms then link together to form different molecules. The types of molecules in matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. As paper burns, paper molecules react with oxygen molecules in the air. This reaction breaks the chemical bonds in the molecules. The atoms then link together in a different way to form different molecules. For example, carbon dioxide molecules are formed when paper burns.
In a physical change, chemical bonds do not break. The types of molecules in matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, water vaporizing is a physical change that can be caused by heating. Liquid water and water vapor are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Filtering air to remove dust and pollen is a physical change. The air flows through the filter, and the pollen and dust stay behind. This separates the mixture of air, pollen, and dust. But separating a mixture does not form a different type of matter.
A crayon melting in the sun is a change of state. So, it is a physical change. The crayon changes state from solid to liquid. The crayon is still made of wax, even after it melts.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are physical changes. No new matter is created.
Both are chemical changes.
Both changes are physical changes. They are not chemical changes.
Both are caused by heating.
A crayon melting in the sun is caused by heating. But filtering air is not.
Both are caused by cooling.
Neither change is caused by cooling.",(C),0,C,A,Reasoning:A crayon melting in the sun is called a chemical change. The final answer: (C).,A crayon melting in the sun is called a chemical change.,C,0
3479,,"What do these two changes have in common?
molding clay into the shape of a pot
breaking a stick in half","['Both are caused by heating.', 'Both are chemical changes.', 'Both are caused by cooling.', 'Both are only physical changes.']",3,,closed choice,grade3,natural science,chemistry,Incorrect–Incorrect,Compare physical and chemical changes,"Chemical changes and physical changes are two common ways matter can change.
In a chemical change, the type of matter changes. The types of matter before and after a chemical change are always different.
Some chemical changes are caused by heating or cooling. For example, burning a piece of paper is a chemical change caused by heating. When paper gets hot enough, it re­acts with oxygen in the air and burns. The paper and oxygen change into ash and smoke.
In a physical change, the type of matter stays the same. The types of matter before and after a physical change are always the same.
A change of state is a type of physical change. Changes of state can be caused by heating or cooling. For example, ice melting is a physical change that can be caused by heating. Ice and liquid water are made of the same type of matter: water.
The law of conservation of mass says that all physical and chemical changes conserve mass. Conserve means to keep the same. So, the total mass before a physical or chemical change is equal to the total mass after the change.","Step 1: Think about each change.
Molding clay into the shape of a pot is a physical change. The clay gets a different shape. But it is made of the same type of matter.
Breaking a stick in half is a physical change. The stick gets broken into two pieces. But the pieces are still made of the same type of matter as the original stick.
Step 2: Look at each answer choice.
Both are only physical changes.
Both changes are physical changes. No new matter is created.
Both are chemical changes.
Both changes are physical changes. They are not chemical changes.
Both are caused by heating.
Neither change is caused by heating.
Both are caused by cooling.
Neither change is caused by cooling.",(A),0,A,D,Reasoning:Molding clay into the shape of a pot breaks a stick in half. The final answer: (B).,Molding clay into the shape of a pot breaks a stick in half.,B,0
1066,,Select the action that doesn't belong.,"['edit', 'rewrite', 'multiply', 'write']",2,,closed choice,grade3,language science,vocabulary,Incorrect–Incorrect,Select the words that don't belong,,"Multiply doesn't belong.
Rewrite, edit, and write all name things you do while writing.",B,0,B,C,"Reasoning:Action that doesn't belong can be rewritten. Therefore, the final answer is (A).",,,0
